"Model","Context_Window","Accuracy","Macro_F1","Weighted_F1"
"Utterance-only","None","0.40076628352490423","0.30793776056656175","0.4215728128728594"
"Context TF-IDF","0","0.4134099616858238","0.31636048748534945","0.43242799860268594"
"Context TF-IDF","1","0.3693486590038314","0.2585563129039245","0.3875046444842097"
"Context TF-IDF","2","0.3593869731800766","0.25294052081620993","0.3764373877400964"
"Context TF-IDF","3","0.3425287356321839","0.22867294789212922","0.36125245013760693"
"Context TF-IDF","5","0.35517241379310344","0.23245892648512217","0.3715239690832242"
