Model,Accuracy,Macro_F1,Weighted_F1,Macro_F1_Change_vs_Baseline
Utterance-only TF-IDF,0.40076628352490423,0.30793776056656175,0.4215728128728594,0.0
Context TF-IDF (3 turns),0.3425287356321839,0.22867294789212922,0.36125245013760693,-0.07926481267443253
