seed,word_dropout_rate,remaining_word_fraction,accuracy,macro_f1,weighted_f1,neutral_prediction_fraction,accuracy_drop,macro_f1_drop
13,0.0,1.0,0.47203065134099614,0.36919172434110326,0.5102019660263688,0.3099616858237548,0.0,0.0
13,0.1,0.9,0.4685823754789272,0.35977427510827215,0.5035826502541195,0.335632183908046,0.003448275862068917,0.00941744923283111
13,0.3,0.7,0.4647509578544061,0.3394415592314667,0.4880485204868317,0.40153256704980844,0.007279693486590022,0.029750165109636573
13,0.5,0.5,0.46628352490421454,0.30805314567668246,0.47548668975339375,0.478544061302682,0.005747126436781602,0.061138578664420795
13,0.7,0.30000000000000004,0.4727969348659004,0.2808805920758763,0.45656268078463824,0.5758620689655173,-0.0007662835249042654,0.08831113226522697
13,1.0,0.0,0.4812260536398467,0.0928238858916562,0.3126849060381001,1.0,-0.009195402298850575,0.27636783844944707
42,0.0,1.0,0.47203065134099614,0.36919172434110326,0.5102019660263688,0.3099616858237548,0.0,0.0
42,0.1,0.9,0.47011494252873565,0.35617254984124835,0.5050295034037774,0.3455938697318008,0.001915708812260497,0.013019174499854902
42,0.3,0.7,0.4754789272030651,0.3445562953167864,0.49845357880446944,0.4149425287356322,-0.0034482758620689724,0.02463542902431687
42,0.5,0.5,0.47126436781609193,0.31029261893769305,0.47910821387164165,0.4946360153256705,0.0007662835249042099,0.0588991054034102
42,0.7,0.30000000000000004,0.47701149425287354,0.2814316941972007,0.45867726872772646,0.5923371647509579,-0.004980842911877392,0.08776003014390255
42,1.0,0.0,0.4812260536398467,0.0928238858916562,0.3126849060381001,1.0,-0.009195402298850575,0.27636783844944707
73,0.0,1.0,0.47203065134099614,0.36919172434110326,0.5102019660263688,0.3099616858237548,0.0,0.0
73,0.1,0.9,0.47164750957854407,0.3626554061797712,0.5080663829408003,0.3367816091954023,0.0003831417624520772,0.006536318161332044
73,0.3,0.7,0.4704980842911877,0.34050025255409666,0.49505339834423473,0.40651340996168583,0.0015325670498084198,0.028691471787006595
73,0.5,0.5,0.4674329501915709,0.3142580310348971,0.4785193427070071,0.48084291187739464,0.0045977011494252595,0.05493369330620618
73,0.7,0.30000000000000004,0.4793103448275862,0.28283614426822373,0.46067585646493314,0.5988505747126437,-0.0072796934865900775,0.08635558007287952
73,1.0,0.0,0.4812260536398467,0.0928238858916562,0.3126849060381001,1.0,-0.009195402298850575,0.27636783844944707
101,0.0,1.0,0.47203065134099614,0.36919172434110326,0.5102019660263688,0.3099616858237548,0.0,0.0
101,0.1,0.9,0.46436781609195404,0.3564953457077327,0.5001912155373359,0.33371647509578545,0.007662835249042099,0.01269637863337053
101,0.3,0.7,0.46590038314176246,0.3379954638257627,0.4917125824255036,0.39655172413793105,0.006130268199233679,0.03119626051534058
101,0.5,0.5,0.47203065134099614,0.31097592294823345,0.4797453997526467,0.4842911877394636,0.0,0.058215801392869804
101,0.7,0.30000000000000004,0.4796934865900383,0.2871446066834244,0.4645508712999956,0.5770114942528736,-0.007662835249042155,0.08204711765767886
101,1.0,0.0,0.4812260536398467,0.0928238858916562,0.3126849060381001,1.0,-0.009195402298850575,0.27636783844944707
2026,0.0,1.0,0.47203065134099614,0.36919172434110326,0.5102019660263688,0.3099616858237548,0.0,0.0
2026,0.1,0.9,0.46934865900383144,0.35829793600947807,0.5046795298417434,0.3371647509578544,0.002681992337164707,0.010893788331625187
2026,0.3,0.7,0.46590038314176246,0.33399977320493573,0.49336740391866807,0.39846743295019155,0.006130268199233679,0.03519195113616752
2026,0.5,0.5,0.4727969348659004,0.3138101732733432,0.48215546183597185,0.4904214559386973,-0.0007662835249042654,0.05538155106776005
2026,0.7,0.30000000000000004,0.47739463601532567,0.28530324769711213,0.4622889835906663,0.5842911877394636,-0.005363984674329525,0.08388847664399113
2026,1.0,0.0,0.4812260536398467,0.0928238858916562,0.3126849060381001,1.0,-0.009195402298850575,0.27636783844944707
