Emotion,Support,Correct,Errors,Recall,Error_Rate
fear,50,8,42,0.16,0.84
disgust,68,13,55,0.19117647058823528,0.8088235294117647
anger,345,109,236,0.3159420289855073,0.6840579710144927
sadness,208,70,138,0.33653846153846156,0.6634615384615384
neutral,1256,523,733,0.4164012738853503,0.5835987261146497
joy,402,176,226,0.43781094527363185,0.5621890547263682
surprise,281,147,134,0.5231316725978647,0.47686832740213525
