Length_Bucket,Samples,Correct,Average_Word_Count,Accuracy
1-3 words,715,340,1.8643356643356643,0.4755244755244755
4-7 words,717,281,5.352859135285914,0.39191073919107394
8-15 words,805,300,10.86583850931677,0.37267080745341613
16+ words,373,125,20.152815013404826,0.3351206434316354
